221,5,,012,001
039,4,,018,002
001,3,,001,003
222,4,,011,003
196,5,,007,004
259,4,,007,005
190,4,,001,006
015,4,,015,006
072,2,,009,007
109,3,So scary!!,004,008
078,4,,015,009
162,4,,015,010
063,4,Very intense,021,011
180,3,,011,012
169,2,,001,013
002,3,,002,013
091,4,,007,014
211,4,Wonderful film with fantastic actors,001,015
110,3,,005,016
202,4,,013,017
011,5,All time favorite movie,012,017
203,4,,014,018
204,3,,015,019
250,4,,019,020
127,1,So cheesy but really fun to make fun of,001,021
056,5,,014,022
128,3,,002,023
251,3,,020,024
260,3,,008,025
107,3,The weakest one of the series,002,026
098,5,,014,027
252,4,,021,028
258,4,,006,029
245,3,,014,030
024,4,Good stuff,003,031
191,4,"Super intense, non-stop action.  Wonderful movie",002,032
192,4,Classic sci-fi film everyone should see,003,033
185,2,,017,034
225,3,,015,035
130,5,,004,036
134,3,,008,037
064,4,,001,038
125,3,Fairly disappointed with the ending of this one,020,039
123,4,,018,040
126,4,,021,041
205,4,,016,042
141,4,"A nice, simple, and solid movie",015,043
003,1,,003,043
212,5,,002,044
182,3,,014,045
146,4,,020,046
226,3,,016,047
108,3,,003,048
163,4,Pleasantly surprised,016,049
137,5,,012,050
227,4,,017,051
088,4,,004,052
087,3,,003,053
026,3,,005,054
065,3,,002,055
021,4,I wish Fargo was this interesting,021,055
007,4,,007,056
073,4,The ending blew me away,010,057
008,5,,008,058
030,4,Adorable,009,059
206,4,,017,060
104,4,,020,061
207,5,A modern classic,018,062
118,4,The music is so catchy,013,063
223,4,,013,064
012,3,,011,064
086,5,Hilarious movie especially for a Trek fan,002,065
106,4,A Halloween must waitch,001,066
193,4,,004,067
114,4,The dialogue was hilarious!,009,068
090,3,,006,069
115,2,,010,070
074,4,A great movie about messed up people,012,071
184,5,,016,072
159,2,Kind of stupid but I was entertained,011,073
116,5,Probably the best Marvel movie yet,012,074
052,3,,010,075
082,4,All set up and no pay-off but still pretty good,019,076
083,4,,020,077
166,4,,019,078
084,3,,021,079
085,3,,001,080
027,4,,006,081
005,3,They left our soooo much,005,081
053,3,,012,082
176,4,,008,083
028,3,,007,084
032,2,Could have been a lot better,012,085
057,5,,015,086
210,3,,021,087
228,2,,018,088
229,5,,019,089
230,3,,020,090
010,3,,010,090
058,5,Made my head hurt but really good,016,091
195,4,Really catchy tunes,006,092
142,4,,016,093
143,3,,017,094
218,2,,008,095
096,5,Such a classic,011,096
017,5,Makes me cry every time,017,096
150,4,,003,097
231,5,"Such a well executed movie, I'm still afraid to go back in the water",021,098
170,5,"Fantastic movie, even though it’s really long I was so enthralled",002,099
079,3,,016,100
232,4,The dinosaurs look amazing,001,101
013,4,,013,101
124,2,,019,102
069,2,,006,103
200,4,,012,104
009,3,Good but not enough black,009,104
253,4,,001,105
233,4,,002,106
177,4,,009,107
020,4,Long but great,020,108
178,4,Great movie but it doesn’t end,010,108
179,4,,012,109
261,3,,009,110
059,4,"Still trying to figure it all out, good stuff",017,111
034,4,,013,112
035,3,,014,113
036,4,Epic stuff,015,114
044,3,Pretty good thriller,002,115
040,3,,019,116
140,2,,014,117
119,3,,014,118
055,4,Best one of the series,013,119
246,4,,015,120
037,5,"Fantastic movie, one of my new favoirtes",016,121
