002,099,8/15/2016,8/27/2017
008,058,11/1/2016,11/30/2016
013,137,10/25/2016,11/22/2016
012,001,10/29/2016,11/15/2016
009,110,10/15/2016,11/12/2016
003,127,10/16/2016,11/12/2016
002,106,10/20/2016,11/8/2016
019,020,10/15/2016,11/1/2016
004,183,10/11/2016,11/1/2016
008,154,10/1/2016,10/31/2016
021,028,9/28/2016,10/27/2016
012,104,10/4/2016,10/22/2016
005,219,9/23/2016,10/21/2016
001,105,9/20/2016,10/19/2016
020,024,9/28/2016,10/18/2016
013,064,10/10/2016,10/16/2016
009,190,10/7/2016,10/12/2016
007,005,9/27/2016,10/11/2016
003,130,9/21/2016,10/11/2016
002,044,9/29/2016,10/10/2016
019,089,9/29/2016,10/10/2016
004,139,9/17/2016,10/7/2016
013,017,9/30/2016,10/5/2016
009,169,9/30/2016,10/5/2016
012,109,9/15/2016,10/1/2016
010,217,9/6/2016,9/30/2016
009,210,9/19/2016,9/29/2016
019,199,9/9/2016,9/27/2016
017,203,9/1/2016,9/21/2016
013,216,9/15/2016,9/20/2016
003,033,8/15/2016,9/19/2016
020,090,9/12/2016,9/19/2016
008,095,8/21/2016,9/19/2016
021,098,9/10/2016,9/19/2016
002,032,9/3/2016,9/16/2016
009,107,9/7/2016,9/15/2016
004,212,9/2/2016,9/15/2016
012,176,9/1/2016,9/12/2016
016,202,8/12/2016,9/10/2016
013,180,9/5/2016,9/8/2016
007,232,8/11/2016,9/8/2016
019,167,8/27/2016,9/7/2016
021,087,8/21/2016,9/6/2016
009,214,8/31/2016,9/5/2016
001,101,8/16/2016,9/2/2016
013,200,8/20/2016,9/1/2016
010,134,8/21/2016,8/31/2016
012,050,8/23/2016,8/30/2016
017,051,8/20/2016,8/30/2016
004,067,8/24/2016,8/30/2016
009,226,8/22/2016,8/29/2016
009,068,8/12/2016,8/21/2016
004,184,8/13/2016,8/20/2016
012,074,8/13/2016,8/19/2016
017,060,8/4/2016,8/18/2016
021,163,8/8/2016,8/18/2016
010,207,8/4/2016,8/18/2016
013,063,8/8/2016,8/16/2016
019,078,7/30/2016,8/16/2016
002,241,7/28/2016,8/13/2016
003,126,7/25/2016,8/11/2016
012,205,8/5/2016,8/11/2016
016,047,7/17/2016,8/10/2016
009,192,8/3/2016,8/10/2016
004,223,8/5/2016,8/10/2016
021,157,7/17/2016,8/6/2016
013,125,8/1/2016,8/5/2016
007,144,7/4/2016,8/3/2016
010,233,7/16/2016,8/3/2016
009,007,7/26/2016,8/2/2016
001,015,7/1/2016,8/1/2016
017,034,7/15/2016,8/1/2016
004,036,7/21/2016,8/1/2016
013,215,7/15/2016,7/29/2016
012,071,6/25/2016,7/24/2016
005,156,7/3/2016,7/22/2016
009,220,7/14/2016,7/21/2016
008,177,6/22/2016,7/20/2016
019,151,7/1/2016,7/19/2016
004,008,7/11/2016,7/18/2016
002,023,7/2/2016,7/16/2016
016,042,6/25/2016,7/15/2016
003,097,7/2/2016,7/15/2016
021,178,7/1/2016,7/15/2016
017,238,7/1/2016,7/12/2016
009,059,7/2/2016,7/11/2016
013,119,7/2/2016,7/10/2016
010,108,6/28/2016,7/6/2016
004,052,6/22/2016,7/5/2016
007,004,6/13/2016,7/2/2016
006,029,6/22/2016,7/2/2016
013,112,6/1/2016,7/1/2016
017,094,6/23/2016,6/30/2016
009,104,6/25/2016,6/30/2016
021,041,6/19/2016,6/29/2016
019,102,6/22/2016,6/29/2016
005,201,6/12/2016,6/29/2016
003,208,6/12/2016,6/29/2016
002,026,6/21/2016,6/27/2016
018,204,6/12/2016,6/27/2016
010,175,6/5/2016,6/24/2016
016,072,6/2/2016,6/23/2016
012,082,6/11/2016,6/21/2016
017,164,6/14/2016,6/20/2016
004,123,6/9/2016,6/18/2016
002,065,6/2/2016,6/15/2016
021,162,6/2/2016,6/15/2016
017,159,6/5/2016,6/12/2016
006,231,6/5/2016,6/12/2016
008,083,5/12/2016,6/10/2016
019,161,5/4/2016,6/4/2016
018,088,5/27/2016,6/3/2016
004,234,5/27/2016,6/3/2016
012,085,5/22/2016,6/2/2016
017,141,5/18/2016,6/2/2016
006,143,5/20/2016,6/2/2016
014,030,5/15/2016,6/1/2016
010,227,5/9/2016,6/1/2016
001,006,5/3/2016,5/30/2016
016,049,5/13/2016,5/30/2016
021,079,5/12/2016,5/30/2016
013,101,5/12/2016,5/29/2016
007,132,5/11/2016,5/27/2016
003,048,5/16/2016,5/26/2016
004,211,5/13/2016,5/24/2016
018,062,5/4/2016,5/22/2016
012,017,5/9/2016,5/18/2016
017,111,5/6/2016,5/16/2016
006,092,5/1/2016,5/15/2016
002,055,5/4/2016,5/13/2016
014,213,5/2/2016,5/12/2016
016,093,4/27/2016,5/11/2016
004,161,4/29/2016,5/11/2016
021,011,5/1/2016,5/10/2016
008,195,4/28/2016,5/10/2016
005,142,5/14/2016,5/8/2016
010,070,4/16/2016,5/3/2016
005,185,4/15/2016,5/3/2016
019,076,4/17/2016,5/2/2016
017,128,4/18/2016,5/2/2016
014,018,4/23/2016,4/30/2016
007,153,4/17/2016,4/29/2016
018,171,4/17/2016,4/29/2016
021,198,4/18/2016,4/29/2016
006,221,4/15/2016,4/29/2016
002,115,4/16/2016,4/26/2016
016,152,4/4/2016,4/24/2016
014,045,4/13/2016,4/21/2016
008,037,4/5/2016,4/20/2016
003,053,4/12/2016,4/20/2016
018,131,4/2/2016,4/15/2016
019,187,4/2/2016,4/15/2016
021,055,3/29/2016,4/12/2016
007,174,3/28/2016,4/12/2016
014,188,3/26/2016,4/12/2016
010,193,4/4/2016,4/12/2016
005,228,3/13/2016,4/11/2016
006,150,3/20/2016,4/4/2016
008,225,3/18/2016,4/3/2016
016,158,3/14/2016,4/2/2016
010,057,3/19/2016,4/1/2016
019,116,3/21/2016,3/30/2016
018,147,3/19/2016,3/30/2016
003,122,3/15/2016,3/28/2016
007,014,3/3/2016,3/25/2016
002,224,3/3/2016,3/25/2016
001,013,3/3/2016,3/21/2016
019,207,3/2/2016,3/19/2016
014,117,3/12/2016,3/18/2016
006,138,3/7/2016,3/17/2016
018,040,3/3/2016,3/16/2016
010,075,3/5/2016,3/16/2016
016,100,2/29/2016,3/10/2016
005,133,2/16/2016,3/5/2016
003,170,2/11/2016,3/5/2016
006,173,2/28/2016,3/3/2016
